,均线,买入金额,卖出金额,持仓金额,赚取,开始日期,结束日期
0,428,41900.0,0.0,46240.29,1.1,20120528,20130528
1,428,41500.0,0.0,45552.69,1.1,20120529,20130529
2,428,40900.0,0.0,44631.67,1.09,20120530,20130530
3,428,41700.0,0.0,45047.91,1.08,20120531,20130531
4,428,42400.0,0.0,45927.54,1.08,20120601,20130603
5,428,42900.0,0.0,46004.5,1.07,20120604,20130604
6,428,41900.0,0.0,44443.03,1.06,20120605,20130605
7,428,42000.0,0.0,44001.76,1.05,20120606,20130606
8,428,41400.0,0.0,42672.39,1.03,20120607,20130607
9,428,41800.0,0.0,41793.17,1.0,20120608,20130613
10,428,41800.0,0.0,42090.11,1.01,20120611,20130614
11,428,41700.0,0.0,41739.54,1.0,20120612,20130617
12,428,41100.0,0.0,41511.18,1.01,20120613,20130618
13,428,41000.0,0.0,41220.26,1.01,20120614,20130619
14,428,41300.0,0.0,40426.52,0.98,20120615,20130620
15,428,41000.0,0.0,40137.05,0.98,20120618,20130621
16,428,42000.0,0.0,39087.32,0.93,20120619,20130624
17,428,41900.0,0.0,39105.42,0.93,20120620,20130625
18,428,41900.0,0.0,38904.52,0.93,20120621,20130626
19,428,41800.0,0.0,38972.55,0.93,20120625,20130627
20,428,42000.0,0.0,39858.97,0.95,20120626,20130628
21,428,40800.0,0.0,38537.09,0.94,20120627,20130701
22,428,40300.0,0.0,38177.1,0.95,20120628,20130702
23,428,40100.0,0.0,37878.25,0.94,20120629,20130703
24,428,39500.0,0.0,37431.19,0.95,20120702,20130704
25,428,40100.0,0.0,38161.7,0.95,20120703,20130705
26,428,41100.0,0.0,38180.38,0.93,20120704,20130708
27,428,41300.0,0.0,38374.4,0.93,20120705,20130709
28,428,39900.0,0.0,37691.63,0.94,20120706,20130710
29,428,39500.0,0.0,38926.72,0.99,20120709,20130711
30,428,39200.0,0.0,37794.38,0.96,20120710,20130712
31,428,39400.0,0.0,38513.67,0.98,20120711,20130715
32,428,39600.0,0.0,38960.95,0.98,20120712,20130716
33,428,39600.0,0.0,38413.51,0.97,20120713,20130717
34,428,39400.0,0.0,37810.7,0.96,20120716,20130718
35,428,39400.0,0.0,36893.28,0.94,20120717,20130719
36,428,39600.0,0.0,37486.6,0.95,20120718,20130722
37,428,39200.0,0.0,38376.62,0.98,20120719,20130723
38,428,40200.0,0.0,39558.77,0.98,20120720,20130724
39,428,40200.0,0.0,39557.56,0.98,20120723,20130725
40,428,40100.0,0.0,38963.4,0.97,20120724,20130726
41,428,39900.0,0.0,38161.63,0.96,20120725,20130729
42,428,40100.0,0.0,38532.52,0.96,20120726,20130730
43,428,38800.0,0.0,37022.21,0.95,20120727,20130731
44,428,37900.0,0.0,37006.42,0.98,20120730,20130801
45,428,37900.0,0.0,36962.27,0.98,20120731,20130802
46,428,37200.0,0.0,36618.8,0.98,20120801,20130805
47,428,37800.0,0.0,37465.57,0.99,20120802,20130806
48,428,38800.0,0.0,38331.66,0.99,20120803,20130807
49,428,38900.0,0.0,38506.43,0.99,20120806,20130808
50,428,37700.0,0.0,37105.42,0.98,20120807,20130809
51,428,36600.0,0.0,36705.73,1.0,20120808,20130812
52,428,36200.0,0.0,36415.6,1.01,20120809,20130813
53,428,36500.0,0.0,36647.7,1.0,20120810,20130814
54,428,36800.0,0.0,36602.71,0.99,20120813,20130815
55,428,37000.0,0.0,36588.47,0.99,20120814,20130816
56,428,36500.0,0.0,36504.08,1.0,20120815,20130819
57,428,36800.0,0.0,36694.83,1.0,20120816,20130820
58,428,37000.0,0.0,37075.53,1.0,20120817,20130821
59,428,36900.0,0.0,36973.06,1.0,20120820,20130822
60,428,37700.0,0.0,38020.89,1.01,20120821,20130823
61,428,37400.0,0.0,38568.44,1.03,20120822,20130826
62,428,37200.0,0.0,38235.16,1.03,20120823,20130827
63,428,37200.0,0.0,38189.32,1.03,20120824,20130828
64,428,37400.0,0.0,38218.15,1.02,20120827,20130829
65,428,36200.0,0.0,36575.7,1.01,20120828,20130830
66,428,35300.0,0.0,35566.28,1.01,20120829,20130902
67,428,35200.0,0.0,35980.5,1.02,20120830,20130903
68,428,34400.0,0.0,35000.37,1.02,20120831,20130904
69,428,35000.0,0.0,35450.87,1.01,20120903,20130905
70,428,36000.0,0.0,36837.67,1.02,20120904,20130906
71,428,35900.0,0.0,38172.02,1.06,20120905,20130909
72,428,34600.0,0.0,36867.85,1.07,20120906,20130910
73,428,33500.0,0.0,35431.08,1.06,20120907,20130911
74,428,33100.0,0.0,35513.27,1.07,20120910,20130912
75,428,33500.0,0.0,35667.74,1.06,20120911,20130913
76,428,33600.0,0.0,35602.47,1.06,20120912,20130916
77,428,34100.0,0.0,35479.03,1.04,20120913,20130917
78,428,33400.0,0.0,34853.01,1.04,20120914,20130918
79,428,33500.0,0.0,35595.86,1.06,20120917,20130923
80,428,33800.0,0.0,35751.72,1.06,20120918,20130924
81,428,33600.0,0.0,35436.6,1.05,20120919,20130925
82,428,34800.0,0.0,36638.87,1.05,20120920,20130926
83,428,34500.0,0.0,36426.34,1.06,20120921,20130927
84,428,34200.0,0.0,36231.79,1.06,20120924,20130930
85,428,33900.0,0.0,36495.2,1.08,20120925,20131008
86,428,33600.0,0.0,36034.71,1.07,20120926,20131009
87,428,32600.0,0.0,34284.7,1.05,20120927,20131010
88,428,31400.0,0.0,33355.15,1.06,20120928,20131011
89,428,31100.0,0.0,32996.85,1.06,20121008,20131014
90,428,30300.0,0.0,31934.52,1.05,20121009,20131015
91,428,31100.0,0.0,32253.59,1.04,20121010,20131016
92,428,32100.0,0.0,33235.74,1.04,20121011,20131017
93,428,32000.0,0.0,33360.67,1.04,20121012,20131018
94,428,30500.0,0.0,32106.65,1.05,20121015,20131021
95,428,30000.0,0.0,31080.08,1.04,20121016,20131022
96,428,29800.0,0.0,30718.77,1.03,20121017,20131023
97,428,30300.0,0.0,30946.55,1.02,20121018,20131024
98,428,30700.0,0.0,30918.96,1.01,20121019,20131025
99,428,31100.0,0.0,31364.34,1.01,20121022,20131028
100,428,30600.0,0.0,30990.2,1.01,20121023,20131029
101,428,30400.0,0.0,31206.29,1.03,20121024,20131030
102,428,30900.0,0.0,31528.68,1.02,20121025,20131031
103,428,30700.0,0.0,31579.42,1.03,20121026,20131101
104,428,31600.0,0.0,32831.4,1.04,20121029,20131104
105,428,31300.0,0.0,32483.65,1.04,20121030,20131105
106,428,31200.0,0.0,31977.46,1.02,20121031,20131106
107,428,30800.0,0.0,31499.29,1.02,20121101,20131107
108,428,30600.0,0.0,30617.17,1.0,20121102,20131108
109,428,29900.0,0.0,29757.09,1.0,20121105,20131111
110,428,29000.0,0.0,29060.76,1.0,20121106,20131112
111,428,28800.0,0.0,28237.93,0.98,20121107,20131113
112,428,28200.0,0.0,27668.8,0.98,20121108,20131114
113,428,28800.0,0.0,28846.47,1.0,20121109,20131115
114,428,29300.0,0.0,30347.62,1.04,20121112,20131118
115,428,29300.0,0.0,30285.04,1.03,20121113,20131119
116,428,27700.0,0.0,28368.89,1.02,20121114,20131120
117,428,27200.0,0.0,27579.76,1.01,20121115,20131121
118,428,27000.0,0.0,27424.47,1.02,20121116,20131122
119,428,27800.0,0.0,28122.45,1.01,20121119,20131125
120,428,28300.0,0.0,28682.94,1.01,20121120,20131126
121,428,28600.0,0.0,29323.99,1.03,20121121,20131127
122,428,27900.0,0.0,28936.13,1.04,20121122,20131128
123,428,27700.0,0.0,28728.05,1.04,20121123,20131129
124,428,28000.0,0.0,28872.2,1.03,20121126,20131202
125,428,27600.0,0.0,28712.15,1.04,20121127,20131203
126,428,28100.0,0.0,30007.94,1.07,20121128,20131204
127,428,27800.0,0.0,29658.87,1.07,20121129,20131205
128,428,27600.0,0.0,29246.11,1.06,20121130,20131206
129,428,27500.0,0.0,29306.42,1.07,20121203,20131209
130,428,27500.0,0.0,29086.04,1.06,20121204,20131210
131,428,26900.0,0.0,27797.63,1.03,20121205,20131211
132,428,26000.0,0.0,26696.4,1.03,20121206,20131212
133,428,25800.0,0.0,26393.23,1.02,20121207,20131213
134,428,25200.0,0.0,25216.51,1.0,20121210,20131216
135,428,25900.0,0.0,25765.68,0.99,20121211,20131217
136,428,26500.0,0.0,26438.03,1.0,20121212,20131218
137,428,26400.0,0.0,26085.34,0.99,20121213,20131219
138,428,25200.0,0.0,24052.78,0.95,20121214,20131220
139,428,24400.0,0.0,23067.34,0.95,20121217,20131223
140,428,24200.0,0.0,23046.61,0.95,20121218,20131224
141,428,24800.0,0.0,23766.52,0.96,20121219,20131225
142,428,25400.0,0.0,24092.77,0.95,20121220,20131226
143,428,25800.0,0.0,24859.33,0.96,20121221,20131227
144,428,25100.0,0.0,24191.64,0.96,20121224,20131230
145,428,24800.0,0.0,24154.05,0.97,20121225,20131231
146,428,25100.0,0.0,24439.07,0.97,20121226,20140102
147,428,24700.0,0.0,23729.52,0.96,20121227,20140103
148,428,25400.0,0.0,24194.02,0.95,20121228,20140106
149,428,24900.0,0.0,23661.56,0.95,20121231,20140107
150,428,24900.0,0.0,23684.72,0.95,20130104,20140108
151,428,24800.0,0.0,23558.64,0.95,20130107,20140109
152,428,25000.0,0.0,23472.47,0.94,20130108,20140110
153,428,24800.0,0.0,23136.79,0.93,20130109,20140113
154,428,23800.0,0.0,22212.66,0.93,20130110,20140114
155,428,24000.0,0.0,22430.96,0.93,20130111,20140115
156,428,23600.0,0.0,21977.17,0.93,20130114,20140116
157,428,24300.0,0.0,22342.74,0.92,20130115,20140117
158,428,25100.0,0.0,23047.56,0.92,20130116,20140120
159,428,24600.0,0.0,22257.38,0.9,20130117,20140121
160,428,23900.0,0.0,22033.12,0.92,20130118,20140122
161,428,23200.0,0.0,21093.72,0.91,20130121,20140123
162,428,23000.0,0.0,21092.17,0.92,20130122,20140124
163,428,23700.0,0.0,21527.95,0.91,20130123,20140127
164,428,24400.0,0.0,22273.91,0.91,20130124,20140128
165,428,24600.0,0.0,22551.82,0.92,20130125,20140129
166,428,24100.0,0.0,21826.5,0.91,20130128,20140130
167,428,24000.0,0.0,21901.42,0.91,20130129,20140207
168,428,24000.0,0.0,22534.86,0.94,20130130,20140210
169,428,23500.0,0.0,22100.35,0.94,20130131,20140211
170,428,24400.0,0.0,23390.25,0.96,20130201,20140212
171,428,24200.0,0.0,23102.36,0.95,20130204,20140213
172,428,24100.0,0.0,23126.54,0.96,20130205,20140214
173,428,24100.0,0.0,23381.64,0.97,20130206,20140217
174,428,24400.0,0.0,23306.73,0.96,20130207,20140218
175,428,24000.0,0.0,23215.87,0.97,20130208,20140219
176,428,23000.0,0.0,21938.42,0.95,20130218,20140220
177,428,23100.0,0.0,21811.74,0.94,20130219,20140221
178,428,23400.0,0.0,21605.49,0.92,20130220,20140224
179,428,24400.0,0.0,22042.36,0.9,20130221,20140225
180,428,25100.0,0.0,22768.93,0.91,20130222,20140226
181,428,24300.0,0.0,21971.8,0.9,20130225,20140227
182,428,23800.0,0.0,21562.15,0.91,20130226,20140228
183,428,23200.0,0.0,20905.08,0.9,20130227,20140303
184,428,22900.0,0.0,20663.75,0.9,20130228,20140304
185,428,23700.0,0.0,21291.95,0.9,20130301,20140305
186,428,24300.0,0.0,22007.29,0.91,20130304,20140306
187,428,24300.0,0.0,21952.35,0.9,20130305,20140307
188,428,24700.0,0.0,21775.27,0.88,20130306,20140310
189,428,24600.0,0.0,21786.32,0.89,20130307,20140311
190,428,24900.0,0.0,22066.48,0.89,20130308,20140312
191,428,24200.0,0.0,21671.5,0.9,20130311,20140313
192,428,25500.0,0.0,23017.26,0.9,20130312,20140314
193,428,25200.0,0.0,22864.57,0.91,20130313,20140317
194,428,25200.0,0.0,22874.63,0.91,20130314,20140318
195,428,25300.0,0.0,22911.57,0.91,20130315,20140319
196,428,25600.0,0.0,22775.15,0.89,20130318,20140320
197,428,24900.0,0.0,22843.63,0.92,20130319,20140321
198,428,23700.0,0.0,21729.61,0.92,20130320,20140324
199,428,23600.0,0.0,21645.37,0.92,20130321,20140325
200,428,23900.0,0.0,21930.42,0.92,20130322,20140326
201,428,24600.0,0.0,22518.66,0.92,20130325,20140327
202,428,25300.0,0.0,23216.54,0.92,20130326,20140328
203,428,24700.0,0.0,22570.44,0.91,20130327,20140331
204,428,23900.0,0.0,21768.37,0.91,20130328,20140401
205,428,23400.0,0.0,21290.0,0.91,20130329,20140402
206,428,23600.0,0.0,21433.52,0.91,20130401,20140403
207,428,24200.0,0.0,22303.52,0.92,20130402,20140404
208,428,23900.0,0.0,22517.68,0.94,20130403,20140408
209,428,24300.0,0.0,22884.54,0.94,20130408,20140409
210,428,24600.0,0.0,23675.32,0.96,20130409,20140410
211,428,24400.0,0.0,23474.9,0.96,20130410,20140411
212,428,24600.0,0.0,23655.4,0.96,20130411,20140414
213,428,24100.0,0.0,22679.31,0.94,20130412,20140415
214,428,25200.0,0.0,24089.17,0.96,20130415,20140416
215,428,24800.0,0.0,23603.56,0.95,20130416,20140417
216,428,25000.0,0.0,23787.39,0.95,20130417,20140418
217,428,25400.0,0.0,23855.02,0.94,20130418,20140421
218,428,25300.0,0.0,23905.97,0.94,20130419,20140422
219,428,24700.0,0.0,23164.09,0.94,20130422,20140423
220,428,23900.0,0.0,22358.13,0.94,20130423,20140424
221,428,24100.0,0.0,22335.36,0.93,20130424,20140425
222,428,24800.0,0.0,22735.17,0.92,20130425,20140428
223,428,25400.0,0.0,23555.38,0.93,20130426,20140429
224,428,25900.0,0.0,24083.11,0.93,20130502,20140430
225,428,25300.0,0.0,23545.35,0.93,20130503,20140505
226,428,24000.0,0.0,22113.8,0.92,20130506,20140506
227,428,23500.0,0.0,21354.37,0.91,20130507,20140507
228,428,23700.0,0.0,21602.83,0.91,20130508,20140508
229,428,24300.0,0.0,22193.54,0.91,20130509,20140509
230,428,23900.0,0.0,22168.14,0.93,20130510,20140512
231,428,24100.0,0.0,22311.48,0.93,20130513,20140513
232,428,24500.0,0.0,22813.35,0.93,20130514,20140514
233,428,24400.0,0.0,22504.09,0.92,20130515,20140515
234,428,24500.0,0.0,22580.17,0.92,20130516,20140516
235,428,24100.0,0.0,21867.78,0.91,20130517,20140519
236,428,25100.0,0.0,23080.25,0.92,20130520,20140520
237,428,24700.0,0.0,22852.46,0.93,20130521,20140521
238,428,24800.0,0.0,22929.84,0.92,20130522,20140522
239,428,25200.0,0.0,23646.26,0.94,20130523,20140523
240,428,25400.0,0.0,23914.93,0.94,20130524,20140526
241,428,24900.0,0.0,23273.75,0.93,20130527,20140527
242,428,23500.0,0.0,22040.98,0.94,20130528,20140528
243,428,23900.0,0.0,22381.84,0.94,20130529,20140529
244,428,24500.0,0.0,22973.18,0.94,20130530,20140530
245,428,24800.0,0.0,23239.4,0.94,20130531,20140603
246,428,25100.0,0.0,23425.83,0.93,20130603,20140604
247,428,24600.0,0.0,23244.56,0.94,20130604,20140605
248,428,23500.0,0.0,21872.14,0.93,20130605,20140606
249,428,23000.0,0.0,21243.33,0.92,20130606,20140609
250,428,23200.0,0.0,21796.45,0.94,20130607,20140610
251,428,23800.0,0.0,22358.49,0.94,20130613,20140611
252,428,23500.0,0.0,21961.92,0.93,20130614,20140612
253,428,23600.0,0.0,22283.46,0.94,20130617,20140613
254,428,23700.0,0.0,22617.89,0.95,20130618,20140616
255,428,23600.0,0.0,22399.45,0.95,20130619,20140617
256,428,23900.0,0.0,22604.69,0.95,20130620,20140618
257,428,24000.0,0.0,22373.45,0.93,20130621,20140619
258,428,24900.0,0.0,23594.69,0.95,20130624,20140620
259,428,24600.0,0.0,23196.93,0.94,20130625,20140623
260,428,24500.0,0.0,23341.11,0.95,20130626,20140624
261,428,24900.0,0.0,23728.67,0.95,20130627,20140625
262,428,25000.0,0.0,23932.25,0.96,20130628,20140626
263,428,24600.0,0.0,23484.93,0.95,20130701,20140627
264,428,23400.0,0.0,22327.47,0.95,20130702,20140630
265,428,23800.0,0.0,22810.77,0.96,20130703,20140701
266,428,24200.0,0.0,23344.23,0.96,20130704,20140702
267,428,24300.0,0.0,23572.66,0.97,20130705,20140703
268,428,24700.0,0.0,24080.55,0.97,20130708,20140704
269,428,24000.0,0.0,23386.56,0.97,20130709,20140707
270,428,22900.0,0.0,22198.91,0.97,20130710,20140708
