,ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
1,000001.SH,20040102,3.30E+12,7.94E+11,4.54E+11,1.08E+11,1.03E+11,1.52,1.59,45.34,37.11,2.77
2,000001.SH,20040105,3.41E+12,8.15E+11,4.54E+11,1.08E+11,1.03E+11,2.6,2.72,46.98,38.46,2.87
3,000001.SH,20040106,3.43E+12,8.19E+11,4.54E+11,1.08E+11,1.03E+11,2.97,3.1,47.14,38.59,2.88
4,000001.SH,20040107,3.45E+12,8.27E+11,4.54E+11,1.08E+11,1.03E+11,2.78,2.91,47.48,38.87,2.91
5,000001.SH,20040108,3.50E+12,8.42E+11,4.54E+11,1.08E+11,1.03E+11,2.54,2.66,48.13,39.4,2.94
6,000001.SH,20040109,3.44E+12,8.32E+11,4.54E+11,1.08E+11,1.03E+11,2.88,3.02,47.24,38.67,2.89
7,000001.SH,20040112,3.52E+12,8.49E+11,4.54E+11,1.08E+11,1.03E+11,2.09,2.19,48.35,39.58,2.96
8,000001.SH,20040113,3.50E+12,8.52E+11,4.54E+11,1.08E+11,1.03E+11,2.36,2.47,48.11,39.39,2.94
9,000001.SH,20040114,3.45E+12,8.44E+11,4.54E+11,1.08E+11,1.03E+11,1.87,1.95,47.47,38.86,2.91
10,000001.SH,20040115,3.44E+12,8.42E+11,4.55E+11,1.08E+11,1.03E+11,1.71,1.79,47.24,38.73,2.9
11,000001.SH,20040116,3.47E+12,8.51E+11,4.55E+11,1.08E+11,1.03E+11,1.86,1.95,47.78,39.19,2.92
12,000001.SH,20040129,3.53E+12,8.72E+11,4.55E+11,1.08E+11,1.03E+11,1.68,1.76,48.59,39.85,2.97
13,000001.SH,20040130,3.45E+12,8.56E+11,4.55E+11,1.08E+11,1.03E+11,2.18,2.29,47.05,38.83,2.9
14,000001.SH,20040202,3.52E+12,8.75E+11,4.55E+11,1.08E+11,1.04E+11,3.15,3.3,47.75,39.56,2.95
15,000001.SH,20040203,3.58E+12,8.85E+11,4.55E+11,1.08E+11,1.04E+11,2.42,2.53,48.53,40.21,3
16,000001.SH,20040204,3.66E+12,9.04E+11,4.55E+11,1.08E+11,1.04E+11,2.94,3.08,49.59,41.09,3.07
17,000001.SH,20040205,3.67E+12,9.11E+11,4.55E+11,1.08E+11,1.04E+11,2.95,3.09,49.81,41.27,3.08
18,000001.SH,20040206,3.64E+12,9.02E+11,4.55E+11,1.08E+11,1.04E+11,3.06,3.2,49.39,40.93,3.06
19,000001.SH,20040209,3.70E+12,9.17E+11,4.55E+11,1.08E+11,1.04E+11,2.38,2.49,50.1,41.52,3.1
20,000001.SH,20040210,3.67E+12,9.13E+11,4.55E+11,1.08E+11,1.04E+11,2.48,2.59,49.73,41.23,3.08
21,000001.SH,20040211,3.64E+12,9.10E+11,4.55E+11,1.08E+11,1.04E+11,2.41,2.53,48.93,40.82,3.05
22,000001.SH,20040212,3.60E+12,9.08E+11,4.55E+11,1.08E+11,1.04E+11,2.47,2.59,48.38,40.43,3.02
23,000001.SH,20040213,3.59E+12,9.03E+11,4.55E+11,1.08E+11,1.04E+11,2.07,2.17,48.06,40.23,3.01
24,000001.SH,20040216,3.67E+12,9.24E+11,4.55E+11,1.08E+11,1.04E+11,2.09,2.19,49.15,41.16,3.08
25,000001.SH,20040217,3.69E+12,9.30E+11,4.55E+11,1.08E+11,1.04E+11,2.71,2.83,49.18,41.25,3.09
26,000001.SH,20040218,3.72E+12,9.37E+11,4.55E+11,1.09E+11,1.04E+11,2.64,2.76,49.01,41.46,3.11
27,000001.SH,20040219,3.72E+12,9.37E+11,4.55E+11,1.09E+11,1.04E+11,2.48,2.59,48.97,41.45,3.11
28,000001.SH,20040220,3.73E+12,9.40E+11,4.55E+11,1.08E+11,1.04E+11,2.12,2.21,49.02,41.53,3.12
29,000001.SH,20040223,3.64E+12,9.20E+11,4.55E+11,1.08E+11,1.04E+11,2.59,2.71,47.85,40.57,3.05
30,000001.SH,20040224,3.64E+12,9.15E+11,4.55E+11,1.08E+11,1.04E+11,2.44,2.55,47.42,40.45,3.05
31,000001.SH,20040225,3.57E+12,8.97E+11,4.55E+11,1.09E+11,1.04E+11,2.23,2.34,46.3,39.53,2.98
32,000001.SH,20040226,3.59E+12,8.96E+11,4.55E+11,1.09E+11,1.04E+11,2.1,2.2,45.98,39.39,3
33,000001.SH,20040227,3.63E+12,9.07E+11,4.55E+11,1.09E+11,1.04E+11,1.8,1.88,46.12,39.85,3.03
34,000001.SH,20040301,3.67E+12,9.17E+11,4.55E+11,1.09E+11,1.04E+11,1.83,1.9,44.75,40.04,3.05
35,000001.SH,20040302,3.66E+12,9.17E+11,4.55E+11,1.09E+11,1.04E+11,1.87,1.95,44.8,40.08,3.04
36,000001.SH,20040303,3.61E+12,9.03E+11,4.56E+11,1.09E+11,1.04E+11,1.76,1.83,43.73,39.59,3
