ts_code,trade_date,pb,pb1220
000001.SH,20090113,2.12,3.07
000001.SH,20090114,2.19,3.07
000001.SH,20090115,2.17,3.06
000001.SH,20090116,2.22,3.06
000001.SH,20090119,2.26,3.06
000001.SH,20090120,2.26,3.06
000001.SH,20090121,2.25,3.06
000001.SH,20090122,2.27,3.06
000001.SH,20090123,2.26,3.06
000001.SH,20090202,2.28,3.06
000001.SH,20090203,2.33,3.06
000001.SH,20090204,2.39,3.06
000001.SH,20090205,2.38,3.06
000001.SH,20090206,2.47,3.06
000001.SH,20090209,2.52,3.06
000001.SH,20090210,2.56,3.06
000001.SH,20090211,2.56,3.06
000001.SH,20090212,2.54,3.06
000001.SH,20090213,2.62,3.06
000001.SH,20090216,2.7,3.06
000001.SH,20090217,2.62,3.06
000001.SH,20090218,2.49,3.06
000001.SH,20090219,2.51,3.06
000001.SH,20090220,2.55,3.05
000001.SH,20090223,2.59,3.05
000001.SH,20090224,2.47,3.05
000001.SH,20090225,2.48,3.05
000001.SH,20090226,2.39,3.05
000001.SH,20090227,2.36,3.05
000001.SH,20090302,2.36,3.05
000001.SH,20090303,2.34,3.05
000001.SH,20090304,2.48,3.05
000001.SH,20090305,2.51,3.05
000001.SH,20090306,2.47,3.05
000001.SH,20090309,2.39,3.05
000001.SH,20090310,2.43,3.05
000001.SH,20090311,2.41,3.05
000001.SH,20090312,2.4,3.05
000001.SH,20090313,2.4,3.05
000001.SH,20090316,2.43,3.05
000001.SH,20090317,2.5,3.05
000001.SH,20090318,2.5,3.05
000001.SH,20090319,2.54,3.05
000001.SH,20090320,2.56,3.05
000001.SH,20090323,2.61,3.04
000001.SH,20090324,2.62,3.04
000001.SH,20090325,2.56,3.04
000001.SH,20090326,2.6,3.04
000001.SH,20090327,2.62,3.04
000001.SH,20090330,2.59,3.04
000001.SH,20090331,2.61,3.04
000001.SH,20090401,2.64,3.04
000001.SH,20090402,2.66,3.04
000001.SH,20090403,2.66,3.04
000001.SH,20090407,2.68,3.04
000001.SH,20090408,2.58,3.04
000001.SH,20090409,2.61,3.04
000001.SH,20090410,2.68,3.04
000001.SH,20090413,2.75,3.04
000001.SH,20090414,2.77,3.04
000001.SH,20090415,2.78,3.04
000001.SH,20090416,2.78,3.04
000001.SH,20090417,2.75,3.04
000001.SH,20090420,2.8,3.04
000001.SH,20090421,2.77,3.04
000001.SH,20090422,2.69,3.04
000001.SH,20090423,2.7,3.04
000001.SH,20090424,2.68,3.04
000001.SH,20090427,2.62,3.04
000001.SH,20090428,2.58,3.04
000001.SH,20090429,2.64,3.04
000001.SH,20090430,2.64,3.04
000001.SH,20090504,2.73,3.04
000001.SH,20090505,2.73,3.04
000001.SH,20090506,2.76,3.03
000001.SH,20090507,2.77,3.03
000001.SH,20090508,2.8,3.03
000001.SH,20090511,2.75,3.03
000001.SH,20090512,2.79,3.03
000001.SH,20090513,2.84,3.03
000001.SH,20090514,2.81,3.04
000001.SH,20090515,2.81,3.04
000001.SH,20090518,2.82,3.04
000001.SH,20090519,2.84,3.04
000001.SH,20090520,2.82,3.04
000001.SH,20090521,2.77,3.04
000001.SH,20090522,2.76,3.04
000001.SH,20090525,2.77,3.04
000001.SH,20090526,2.75,3.04
000001.SH,20090527,2.8,3.04
000001.SH,20090601,2.91,3.04
000001.SH,20090602,2.91,3.04
000001.SH,20090603,2.97,3.04
000001.SH,20090604,2.99,3.04
000001.SH,20090605,2.98,3.04
000001.SH,20090608,3,3.04
000001.SH,20090609,3.03,3.04
000001.SH,20090610,3.06,3.04
000001.SH,20090611,3.05,3.04
000001.SH,20090612,2.99,3.04
000001.SH,20090615,3.06,3.04
000001.SH,20090616,3.05,3.04
000001.SH,20090617,3.08,3.04
000001.SH,20090618,3.14,3.04
000001.SH,20090619,3.17,3.04
000001.SH,20090622,3.2,3.04
